run_id	code_hash	seed	mode	lr	epochs	batch	elapsed	final_train_loss	best_dev_UAS	best_epoch	test_UAS	checkpoint	status
exp_A_debug_smoke_seed42_lr0p0005_20260921_025717	d426f80	42	debug	0.0005	10	1024	33.01039385795593	0.14773729583248496	71.55711072231942	10		/Users/xiaohufeng/Documents/cs224/assignments/a2/student/results/exp_A_debug_smoke_seed42_lr0p0005_20260921_025717/model.weights	completed
exp_B_baseline_seed42_lr0p0005_20260921_025754	d426f80	42	full	0.0005	10	1024	893.6464450359344	0.06623520821865116	88.42635291771568	10		/Users/xiaohufeng/Documents/cs224/assignments/a2/student/results/exp_B_baseline_seed42_lr0p0005_20260921_025754/model.weights	completed
exp_B_candidate_low_lr_seed42_lr0p00025_20260921_031307	d426f80	42	full	0.00025	10	1024	1022.890234708786	0.07639319558519048	88.06740284667349	9		/Users/xiaohufeng/Documents/cs224/assignments/a2/student/results/exp_B_candidate_low_lr_seed42_lr0p00025_20260921_031307/model.weights	completed
exp_B_candidate_high_lr_seed42_lr0p001_20260921_033029	d426f80	42	full	0.001	10	1024	813.9127979278564	0.058759112854476096	88.37400603235535	7		/Users/xiaohufeng/Documents/cs224/assignments/a2/student/results/exp_B_candidate_high_lr_seed42_lr0p001_20260921_033029/model.weights	completed
